avg_nano_content,avg_Pantothenic acid_weight,soil_type,log_of_diff_length,normalized_value
2.625,1999249.25462367,soil_alone,13.543201399322506,1.0
9.15,1116908.1159060742,soil_nanoplatic,11.712320935672313,0.8648118410362131
0.995,1492919.1833648826,soil_biochar,14.221256486514656,1.0500660860899602
4.6575,1565598.9739989974,soil_biochar_nanoplastic,12.725300216229735,0.9396079878769517
1.0875,1759391.8522660723,soil_Fe-biochar,14.296597284836269,1.0556290837963505
3.5875000000000004,2176884.97420412,soil_Fe-biochar_nanoplastic,13.315949920897236,0.9832202540799078
