avg_nano_content,avg_Guanine_weight,soil_type,log_of_diff_length,normalized_value
2.625,3743.6387795234496,soil_alone,7.262732457071279,1.0
9.15,2561.0880362075836,soil_nanoplatic,5.634433582036837,0.7758007905896263
0.995,4162.764855235745,soil_biochar,8.338947302973477,1.1481831875624653
4.6575,2017.443278968391,soil_biochar_nanoplastic,6.071107461741469,0.8359260784596853
1.0875,1791.804279902205,soil_Fe-biochar,7.407096884784793,1.0198774261019288
3.5875000000000004,2821.233273361392,soil_Fe-biochar_nanoplastic,6.667473818224316,0.9180392996209855
