,feature,importances,std_dev
0,Adenine,0.31008428178144254,0.244583289566694
1,AMP,0.3102577588504843,0.25033199529880407
2,Cytosine,0.008029005080373519,0.007367343890480828
3,Thymine,0.005294811609025474,0.008425230013582023
