count,sum_nano_content,avg_nano_content,variance_nano_content,sum_meta_weight,avg_meta_weight,variance_meta_weight,soil_type,log_of_diff_length,normalized_value
4,10.5,2.625,1.0608333333333337,264982.0788293887,66245.51970734718,915369649.5717834,soil_alone,10.13604221845916,1.0
4,36.6,9.15,0.4966666666666674,72384.64332312989,18096.16083078247,96870693.10648263,soil_nanoplatic,7.589701206671687,0.7487835037673553
4,3.98,0.995,0.005166666666666676,103002.66209312191,25750.665523280477,572695571.6122934,soil_biochar,10.161228293145726,1.0024848036485778
4,18.63,4.6575,1.2631583333333334,182920.8430810722,45730.21077026805,332385134.61447555,soil_biochar_nanoplastic,9.192035602163138,0.9068663492169702
4,4.35,1.0875,0.5772916666666666,114111.81694711221,28527.954236778052,104380141.35470372,soil_Fe-biochar,10.174758251969855,1.003819640119512
4,14.350000000000001,3.5875000000000004,6.222291666666666,130287.9578801879,32571.989470046974,85921144.92505892,soil_Fe-biochar_nanoplastic,9.113752398218871,0.8991430976502293
