avg_nano_content,avg_Caffeic acid_weight,soil_type,log_of_diff_length,normalized_value
2.625,8721.724215736078,soil_alone,8.108491332475603,1.0
9.15,13200.900750032019,soil_nanoplatic,7.274286465597672,0.8971195956593271
0.995,6774.74228850816,soil_biochar,8.82596914825138,1.0884847484392295
4.6575,31408.75038588461,soil_biochar_nanoplastic,8.816362984289855,1.08730004421157
1.0875,18209.984225588498,soil_Fe-biochar,9.725843822490631,1.199464046232289
3.5875000000000004,18555.73404298037,soil_Fe-biochar_nanoplastic,8.551078552013445,1.0545831772385599
