avg_nano_content,avg_malic acid_weight,soil_type,log_of_diff_length,normalized_value
2.625,10500676.128088161,soil_alone,15.201869310162268,1.0
9.15,12613503.89443382,soil_nanoplatic,14.136524656386964,0.92992015442054
0.995,9099827.445571043,soil_biochar,16.02877855110568,1.0543952341696974
4.6575,11901493.738282485,soil_biochar_nanoplastic,14.753695650936065,0.9705185165006909
1.0875,10665550.00881411,soil_Fe-biochar,16.098647995961482,1.0589913429396296
3.5875000000000004,7952633.435098497,soil_Fe-biochar_nanoplastic,14.611558100391631,0.9611685117319079
