avg_nano_content,avg_Citric acid_weight,soil_type,log_of_diff_length,normalized_value
2.625,7295789.555252333,soil_alone,14.83772707042425,1.0
9.15,9340748.524316357,soil_nanoplatic,13.836143069496174,0.9324974778027483
0.995,5155202.468469253,soil_biochar,15.46052949261916,1.0419742470823803
4.6575,8322318.693154341,soil_biochar_nanoplastic,14.395972639558247,0.9702276212003829
1.0875,6040158.53336092,soil_Fe-biochar,15.530059332831028,1.0466602640094917
3.5875000000000004,4724051.894537319,soil_Fe-biochar_nanoplastic,14.090721860449104,0.9496550107418988
