avg_nano_content,avg_Cytosine_weight,soil_type,log_of_diff_length,normalized_value
2.625,20.589395108832964,soil_alone,2.059695246654565,1.0
9.15,32.86694220415065,soil_nanoplatic,1.278713477111336,0.6208265417848932
0.995,25.026231115906626,soil_biochar,3.2249370612555968,1.5657350603171327
4.6575,22.4056236955989,soil_biochar_nanoplastic,1.5708331616968787,0.7626531955386534
1.0875,27.625511559353072,soil_Fe-biochar,3.2348581936713905,1.5705518566038204
3.5875000000000004,21.61451165276485,soil_Fe-biochar_nanoplastic,1.7959093437999052,0.8719296443087342
