avg_nano_content,avg_Leucine_weight,soil_type,log_of_diff_length,normalized_value
2.625,201351.01910634123,soil_alone,11.247724131590681,1.0
9.15,158144.7682848325,soil_nanoplatic,9.757512268183614,0.8675099205872577
0.995,212134.58973383124,soil_biochar,12.269988751276145,1.0908863524501193
4.6575,206204.9437352335,soil_biochar_nanoplastic,10.698147002221585,0.9511388150225397
1.0875,216485.40255014977,soil_Fe-biochar,12.201396915460206,1.0847880666979564
3.5875000000000004,249626.30978120177,soil_Fe-biochar_nanoplastic,11.150264736613911,0.9913351897827007
