avg_nano_content,avg_p-coumaric acid_weight,soil_type,log_of_diff_length,normalized_value
2.625,218.03310465512973,soil_alone,4.419566011432705,1.0
9.15,217.96656856987408,soil_nanoplatic,3.170587816557487,0.7173979997935741
0.995,125.23836090484232,soil_biochar,4.835231350563099,1.0940511665749837
4.6575,271.88620554615954,soil_biochar_nanoplastic,4.066904793301961,0.9202045591765196
1.0875,244.96518830224102,soil_Fe-biochar,5.417234627906208,1.2257390462983684
3.5875000000000004,198.0601818144712,soil_Fe-biochar_nanoplastic,4.011115351983726,0.9075812741811338
