avg_nano_content,avg_Guanosine_weight,soil_type,log_of_diff_length,normalized_value
2.625,188274.236766188,soil_alone,11.180573989093226,1.0
9.15,135122.92354208184,soil_nanoplatic,9.600186308594893,0.8586487883323326
0.995,176652.0529778955,soil_biochar,12.086949816269291,1.0810670210724642
4.6575,167265.7418107165,soil_biochar_nanoplastic,10.488860271506985,0.938132539683471
1.0875,181634.2913327475,soil_Fe-biochar,12.025869072267511,1.0756039076346957
3.5875000000000004,187979.3669579075,soil_Fe-biochar_nanoplastic,10.866631904479455,0.9719207542546541
