avg_nano_content,avg_Pyridoxal_weight,soil_type,log_of_diff_length,normalized_value
2.625,56277.94074720942,soil_alone,9.97297702509119,1.0
9.15,68358.4900409481,soil_nanoplatic,8.91876716935625,0.8942933636483235
0.995,69433.03583852289,soil_biochar,11.153130595784512,1.1183351338044951
4.6575,76668.4814093921,soil_biochar_nanoplastic,9.70876714602076,0.9735074212639115
1.0875,127362.25299412606,soil_Fe-biochar,11.670909206907483,1.1702532932287355
3.5875000000000004,154071.36997290698,soil_Fe-biochar_nanoplastic,10.66771563433675,1.0696621086660136
