avg_nano_content,avg_Linolenic acid_weight,soil_type,log_of_diff_length,normalized_value
2.625,668191.5206532063,soil_alone,12.447249222947116,1.0
9.15,884856.677131349,soil_nanoplatic,11.479427084843607,0.9222461026714818
0.995,1598198.8680671735,soil_biochar,14.289400387490991,1.1479966482190924
4.6575,1167198.8016286136,soil_biochar_nanoplastic,12.431638425990457,0.9987458436256036
1.0875,998716.8131767453,soil_Fe-biochar,13.730345063171141,1.1030826825463231
3.5875000000000004,1150285.8852015259,soil_Fe-biochar_nanoplastic,12.678065484186284,1.0185435558575984
