avg_nano_content,avg_Nicotinic acid_weight,soil_type,log_of_diff_length,normalized_value
2.625,520685.59573129495,soil_alone,12.197820779447056,1.0
9.15,307765.7512503615,soil_nanoplatic,10.423340345416573,0.8545247986410469
0.995,612801.3397496582,soil_biochar,13.330808625505226,1.0928844476848862
4.6575,569323.7478233668,soil_biochar_nanoplastic,11.713725704651383,0.9603129867581462
1.0875,625624.0922713598,soil_Fe-biochar,13.262623494154958,1.0872945039905866
3.5875000000000004,998779.9174290074,soil_Fe-biochar_nanoplastic,12.536834149400843,1.0277929456485386
