avg_nano_content,avg_Homoserine_weight,soil_type,log_of_diff_length,normalized_value
2.625,187024.76132327074,soil_alone,11.17391540452067,1.0
9.15,138464.9117630327,soil_nanoplatic,9.624618348553675,0.8613469853780895
0.995,142460.09038748825,soil_biochar,11.87182971383195,1.0624592440559306
4.6575,135732.04167980026,soil_biochar_nanoplastic,10.279959115899963,0.9199961467169301
1.0875,155683.3224881125,soil_Fe-biochar,11.871697754990127,1.0624474345122705
3.5875000000000004,212360.42520718576,soil_Fe-biochar_nanoplastic,10.988584647904014,0.9834139824844498
