avg_nano_content,avg_Phenylalanine_weight,soil_type,log_of_diff_length,normalized_value
2.625,445276.88345633727,soil_alone,12.041370681626638,1.0
9.15,301868.206672216,soil_nanoplatic,10.403991920070993,0.8640205666906307
0.995,421464.6955911995,soil_biochar,12.956503835762625,1.0759990850154912
4.6575,403047.62473099,soil_biochar_nanoplastic,11.368331185964179,0.9441060728502098
1.0875,501405.3814877828,soil_Fe-biochar,13.04128871359141,1.0830402167994462
3.5875000000000004,487704.78597110225,soil_Fe-biochar_nanoplastic,11.820009973914884,0.9816166519938201
