avg_nano_content,avg_AMP_weight,soil_type,log_of_diff_length,normalized_value
2.625,4125.027200804936,soil_alone,7.359746996837983,1.0
9.15,959.6213669947385,soil_nanoplatic,4.6527849179941345,0.632193595784358
0.995,4007.349394112732,soil_biochar,8.30089784459364,1.1278781523549668
4.6575,1211.159488021366,soil_biochar_nanoplastic,5.560854610827485,0.7555768714898259
1.0875,3197.656067462954,soil_Fe-biochar,7.986291857495536,1.08513130423189
3.5875000000000004,5984.492827141507,soil_Fe-biochar_nanoplastic,7.41947129265424,1.0081149930618425
