avg_nano_content,avg_Mannose_weight,soil_type,log_of_diff_length,normalized_value
2.625,3036478.9391652727,soil_alone,13.961128262360566,1.0
9.15,3149462.8571634972,soil_nanoplatic,12.748988595438536,0.9131775280519427
0.995,4627347.400790995,soil_biochar,15.352506888111215,1.0996609012970555
4.6575,3635126.1426847526,soil_biochar_nanoplastic,13.567675547105692,0.9718179857772936
1.0875,3660973.654929615,soil_Fe-biochar,15.029358211955275,1.0765145860363359
3.5875000000000004,4590451.793253605,soil_Fe-biochar_nanoplastic,14.06203342600983,1.007227579444371
