avg_nano_content,avg_Isoleucine_weight,soil_type,log_of_diff_length,normalized_value
2.625,3972.6110166555577,soil_alone,7.322097948271458,1.0
9.15,2195.69985241857,soil_nanoplatic,5.480502234774018,0.7484879707280905
0.995,2786.8499052712973,soil_biochar,7.937679712552516,1.0840717740502746
4.6575,1982.08031321216,soil_biochar_nanoplastic,6.053423411873121,0.8267334655502887
1.0875,2750.7076269896424,soil_Fe-biochar,7.835731992484408,1.0701484803729244
3.5875000000000004,4064.9781125090776,soil_Fe-biochar_nanoplastic,7.032708056505065,0.9604771892139589
