avg_nano_content,avg_Ribose_weight,soil_type,log_of_diff_length,normalized_value
2.625,27217.4640984722,soil_alone,9.246533212650428,1.0
9.15,32297.78181791457,soil_nanoplatic,8.168999953197154,0.8834662424638164
0.995,15118.066371173598,soil_biochar,9.62865829787463,1.04132630862142
4.6575,34235.68155153488,soil_biochar_nanoplastic,8.902544875897128,0.9627981288941156
1.0875,23330.1091713966,soil_Fe-biochar,9.973618560466457,1.0786332921857982
3.5875000000000004,16555.731101468635,soil_Fe-biochar_nanoplastic,8.437032029893835,0.912453547276606
