avg_nano_content,avg_Aspartic acid_weight,soil_type,log_of_diff_length,normalized_value
2.625,200910.935333821,soil_alone,11.245536085004423,1.0
9.15,158213.82559795116,soil_nanoplatic,9.757948844369949,0.8677175343718717
0.995,142473.93233911,soil_biochar,11.871926872826865,1.0557012829879864
4.6575,171108.27114680826,soil_biochar_nanoplastic,10.511572976228273,0.9347329372981278
1.0875,159242.78938377675,soil_Fe-biochar,11.894303809833792,1.0576911336129615
3.5875000000000004,197255.419196351,soil_Fe-biochar_nanoplastic,10.914799130990744,0.9705894897749956
