avg_nano_content,avg_Glutamic acid_weight,soil_type,log_of_diff_length,normalized_value
2.625,156487.54294559575,soil_alone,10.995650791958965,1.0
9.15,152843.36995863752,soil_nanoplatic,9.723415070961487,0.8842964600214609
0.995,146841.0542186485,soil_biochar,11.902118558778255,1.0824387554652228
4.6575,153509.62931607675,soil_biochar_nanoplastic,10.403039752249057,0.9461049599589613
1.0875,155580.4367193375,soil_Fe-biochar,11.871036670816473,1.0796120116417003
3.5875000000000004,156712.39386304602,soil_Fe-biochar_nanoplastic,10.684711937066531,0.9717216506075456
