avg_nano_content,avg_Glucose/Galactose_weight,soil_type,log_of_diff_length,normalized_value
2.625,3052171.7732053753,soil_alone,13.9662830559365,1.0
9.15,3165979.713896917,soil_nanoplatic,12.754219232628376,0.9132150037018671
0.995,4653959.4841781575,soil_biochar,15.358241459038739,1.0996656302559022
4.6575,3655322.857687547,soil_biochar_nanoplastic,13.573216156927913,0.97185601226652
1.0875,3678722.941636545,soil_Fe-biochar,15.034194739207502,1.076463557196564
3.5875000000000004,4616681.216481932,soil_Fe-biochar_nanoplastic,14.06773107242334,1.0072637806408855
