avg_nano_content,avg_Nicotinamide_weight,soil_type,log_of_diff_length,normalized_value
2.625,520895.3837786575,soil_alone,12.198223605639788,1.0
9.15,314119.57624425925,soil_nanoplatic,10.443775129175446,0.8561718055690354
0.995,165036.60226204875,soil_biochar,12.018935101996412,0.9853020809062327
4.6575,411002.7562651725,soil_biochar_nanoplastic,11.387876376203574,0.9335684231053484
1.0875,423847.36621062446,soil_Fe-biochar,12.87324720007081,1.055337860351972
3.5875000000000004,500972.4029006455,soil_Fe-biochar_nanoplastic,11.846850713433433,0.9711947490416638
