avg_nano_content,avg_Linoleic acid_weight,soil_type,log_of_diff_length,normalized_value
2.625,250420.56723753602,soil_alone,11.465816156321488,1.0
9.15,253058.18891888054,soil_nanoplatic,10.227620857704064,0.8920098419740696
0.995,589350.6676842673,soil_biochar,13.291789188393997,1.1592536464197352
4.6575,366218.84679561923,soil_biochar_nanoplastic,11.272507552258302,0.9831404409919299
1.0875,318067.47664279345,soil_Fe-biochar,12.586137345972958,1.0977096766926444
3.5875000000000004,406365.886852249,soil_Fe-biochar_nanoplastic,11.63755365080546,1.014978218047678
