avg_nano_content,avg_Arachidic acid_weight,soil_type,log_of_diff_length,normalized_value
2.625,12228.628776149799,soil_alone,8.446454206658355,1.0
9.15,11956.791887820895,soil_nanoplatic,7.175300875430993,0.8495045021110385
0.995,21875.342899118245,soil_biochar,9.998127928314766,1.1837071135048862
4.6575,9501.900742010745,soil_biochar_nanoplastic,7.620768312188464,0.9022446728215253
1.0875,9583.267106077883,soil_Fe-biochar,9.083892362882672,1.0754681361703025
3.5875000000000004,10643.793935320764,soil_Fe-biochar_nanoplastic,7.995276691121392,0.94658379664436
